Q,Q_1 Thème,Q_2 Thème,Q_3 Thème,Q_4 Thème
c etait un trop long par rapport a la demande initiale qui date du mois de novembre et pour laquelle j ai dûf aire plusieurs relances. ,ALERTES risque client,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
satisfait mais cela a pris un peu de temps,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,,
qu ils mettent tout en oeuvre pour m oublier.,ALERTES risque client,,,
"parce que j ai fait une reclamation au mois de fevrier pour laquelle on m a repondu un mois et demi plus tard . au 13 mars, date de la soi-disant clôture, ma reclamation n etait pas encore traitee et j ai eu un mail le vendredi 23 mars. j ai dû insiste pour avoir une reponse et j ai relance. on devait me recontacte le 14 mars et je n ai eu aucun appel. or on m avait appele le 13 mars pour me prevenir qu on me recontacterai le lendemain.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
"ayant donnee tout les adresses de ********* , demande de mettre tout sur le même espace client . j ai des adresse qui ni sont pas d autre qui sont pas prelevee  sur le bon compte en banque   merci  a bientôt pour faire le point. ***********",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
je n en ai aucune idee.,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
parce qu ils l ont fait rapidement et on a repris contact avec moi rapidement,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
peut-être plus un suivi sur la pose du materiel on demande du non differentiel et on nous pose regulierement du differentiel.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
le suivi des donnees et la transmission d informations.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
il y a une ecoute. ,RELATION CLIENTELE,,,
donner des informations de mise a jours regulieres,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que j ai ete tres satisfait mais j aurais aime que ça se fasse plus rapidement,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,,
car nous pouvons toujours nous ameliorer et la perfection a 100 % n existe pas.,IMPRESSIONS GENERALES,,,
parce qu4il a fallu qu on m appelle trois fois pour les gens comprennent ce que je demandais et que ma demande soit prise en compte et traitee.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"la reactivite par rapport aux consommations et aux factures, c est a dire que cela fait plus d un mois qu on demande des informations avec ma responsable que l on obtient pas. mais c est le debut donc c est la mise en place, il faudra voir dans quelques mois. il faut completer le portail, quand j y vais il n y a aucune consommation, ce n est pas encore mis a jour.",ESPACE CLIENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
   ,IMPRESSIONS GENERALES,,,
il a fait le changement en quelques jours. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
la personne etait agreable et fait le necessaire rapidement. c est rare de tomber sur des gens agreables.,RELATION CLIENTELE,RELATION CLIENTELE,,
reactivite ,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
on a bien repondu a ma demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"peut-être l aspect facturation, quand c est des factures annulees et refaites, on a pas suffisament d informations. on gere plusieurs centaines de points de livraison donc on a besoin d avoir une communication assez fine a ce niveau sinon le suivi n est pas simple.",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"accueil tres professionnel, repondant precisement aux attentes",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
informer,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
probleme de convivialite au niveu de l espace client. il etait tres compliquee d avoir acces a nos informations et avoir acces a nos comptages de nos consommation sur notre espace client. ********* a plusiers reprises avec ***** en mon stagiaire est arrive d avoir les informations. pour suivre le compteur sur espace client est compliquee. ,SITE INTERNET - Espace utilisateur,,,
parce que pour l instant je n ai pas la verification de la modification.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
de repondre un peu plus rapidement sinon c est clair et ils sont disponibles,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
aimabilite et professionnalisme de votre agent. cordialement,RELATION CLIENTELE,RELATION CLIENTELE,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
par qu ils ont fait ce que je leurs ai demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
faire les modifications demandees,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
*********** a ete tres patient et a repondu parfaitement a ma demande,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"il faudrait qu ***** soit plus precis dans ses reponses par rapport aux numeros, il faut qu il reprenne vraiment l objet. parfois on a du mal a avoir un interlocuteiur sur les chantiers et les delais d intervention sont longs.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
je mets 3 parce que j attends la reponse.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
la demande n a pas ete satisfaite,IMPRESSIONS GENERALES,,,
"note basse ,car je juge sur la totalite de mon dossier depuis presque 2 ans maintenant.beaucoup trop d erreur administrative dans le prelevement  ....et qui ont dure et dure encore :voir la derniere facture et le prelevement a la même date  etc  etc ",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
meilleure reactivite,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
pas de reponse .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
un 10 des que le virement pour le remboursement sera effectue ! cette operation est en attente depuis fin novembre 2018... ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
************* est toujours a l ecoute et ne  laisse pas tomber 'l affaire' jusqu au resultat !,RELATION CLIENTELE,RELATION CLIENTELE,,
"parce que j ai eu deux interlocutrices tres diligentes, aimables et elle maitrisaient bien. nous sommes nouveaux syndic et elle m ont tres bien renseigne.",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
car j ai ete satisfait d *****,IMPRESSIONS GENERALES,,,
"parce que je n ai pas eu la reponse a ma demande. ils clôturent un dossier alors que pour moi il n est pas resolu. je n ai pas eu d explication. on m a contacte pour me dire qu on change la capacite de mon compteur mais on ne m a rien demande et rien explique, je n ai rien signe. une personne devait venir, on ne l a pas vu. ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
bonne reaction des services. pas d erreur dans les factures. rien a redire,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
trop d interlocuteurs differents. pas de reponse a mes courriels. par contre que des relances et des relances.... ,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
 deja être un petit peu plus a l ecoute essayer d être reactif sur les demandes qui sont faites ce qui n est pas forcement le cas aujourd hui.,RELATION CLIENTELE,ORGANISATION-PROCESS,,
personne a l ecoute,RELATION CLIENTELE,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
ils ont repondu a mes attentes,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
nous avons telephone a plusieurs reprises avant de tomber sur un interlocuteur ayant veritablement pris en charge notre dossier.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
-,IMPRESSIONS GENERALES,,,
parce que c etait assez rapide dans la demarche.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"ameliorer les prestations de services. car lorsque je demande un contrat d abonnement , on me renvoie vers un concurrent dans la region dû au fait qu on passe par une regie.",ORGANISATION-PROCESS,,,
qu ***** me fournisse le numero de telephone d ******. dans le cas d une resiliation ***** ne sert a rien.,ORGANISATION-PROCESS,,,
"monsieur **************** a ete tres professionnel et a tenu ses engagements, bravo !",RELATION CLIENTELE,,,
parce qu une fois que j ai reussi a identifier le bon contact cela a ete rapide. au debut je n avais personne comme referant donc j ai pris plus de temps. mais sinon apres je suis satisfaite.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"par deux fois deja, j ai tente de developper mes arguments et mon argumentaire a ete efface ! ******-on de moi une reponse neutre et satisfaite ? je ne suis pas satisfaite de la façon dont a ete traitee ma demande a part sur la rapidite. comme solution transitoire aux problemes de fonctionnement de *********, on me propose de telephoner apres reception de la facture pour transmettre notre index. donc d en passer par une annulation de facture et une refacturation, je suppose. pourquoi pas d appeler avant l envoi de la facture, pendant la periode de saisie des index, ce que je m apprêtais a faire cette fois-ci ? sauf que cette fois-ci, la facture avait ete emise au tout debut de la periode de saisie !  je parle de facture emise avec 15 jours d avance ; on me repond qu il y a probablement eu un 'beug de la part de notre logiciel de facturation, qui a edite votre facture en retard' !!! comment pourrais-je considerer que ma requête a correctement ete prise en compte ?",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS
ils ont bien oeuvre pour me redonner l acces au site que j avais perdu.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
repondre a ma demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
parce que ma demande a bien ete prise en compte rapidement par ***** mais je n ai pas le retour d ****** donc je m apprêtais a relancer *****.,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
mon interlocutrice a pris la peine de me rappeler pour m informer de l avancee du dossier et nous avons pu echanger.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
avoir un suivi avec la même personne du debut a la fin sur le dossier.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"je justifie cette note par la qualite de traitement de ma demande par le service commercial (m. ******************), le service recouvrement amiable (*********************) avec un excellent sens du contact, le souci de l ecoute et de la satisfaction du client. merci a ces deux collaborateurs de qualite. ",RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION
accueil telephonique chaleureux reponse claire et precise ,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
parce que je ne connais pas trop bien le dossier. la demande a ete prise en charge rapidement suite a mon mail.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"aucun retour !!! je ne sais pas si ma demande a ete traitee, si le resultat est satisfaisant ou pas ......",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que c est un peu contraignant de faire les demandes c est rapide sans l être,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"mon premier contact pour la demande de passage de triphase a monophase avec changement de disjoncteur et compteur et de puissance souscrite date du 24/08/2018. apres plusieurs entretiens telephoniques avec notre conseiller toujours cordiaux, et echanges de mails, le resultat n est toujours pas obtenu et je n ai toujours pas de date d intervention.",RELATION CLIENTELE,CONTRAT,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
rien,IMPRESSIONS GENERALES,,,
"d être plus reactif au niveau de l etablissement des factures reelles. c est tres complique a suivre. on paye des factures, quelques mois apres on reçoit des avoirs et on attend encore pour pouvoir traiter enfin les bonnes factures. on est mi-juin et ce n est pas encore regle....",FACTURATION,,,
ils ont mal pris en compte la demande dans le sens ou il y avait plusieurs pld concernes et comme il n y a pas eu la modification faite dans les temps donc penalites financieres importantes sur un duree d un mois qui ont finalement ete pris en compte dans une demande ulterieure. la demande de remboursement n a pas ete prise en compte par ***** en revanche il n  y  a pas eu de frais occasionnes par cette nouvelle demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
pour gerer un probleme il faut qu on vous recontacte pendant un an,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
c est mieux traite que l annee derniere.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
reduire le delais entre la reponse automatique a un mail et la reponse reelle a la demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
il y a eu un peu de delai ça date du debut d annee j ai dû appeler plusieurs fois pour tomber sur quelqu un qui s en est occuppe,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
tres difficile d avoir un interlocuteur !,RELATION CLIENTELE,,,
faire en sorte que les factures arrivent correctement.,FACTURATION,,,
"etant un coproprietaire, ce n est pas de mon ressort de devoir faire ces demarches. un dysfonctionnement est constate sur un des contrats pour l eclairage public a cause de notre precedent syndic, mais en l absence d action des syndics et du promoteur, j ai ete contraint de prendre les choses en main avec ******** hardy chez ***** afin de regulariser les factures et remettre de l ordre. sans compter les complications avec les references ****** ne correspondant pas exactement aux pdl.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
peut-être au niveau de la facturation c est un peu complique quand on veut faire des statistiques il y a  beaucoup de lignes qui rentrent en jeu peut-être simplifier la facturation. quand on veut reprendre plusieurs annees de rang ce n est pas facile de pouvoir comparer vu qu il y a des lignes qui s ajoutent ou qui disparaissent d une annee sur l autre.,FACTURATION,,,
"je suis nouveau syndic de copropriete. nous avons fait en ligne les changements de nom. vous vous adressez a moi (***********) en utilisant le nom de l ancien syndic( **********). de plus, je n arrive pas a acceder a mon compte bien que nous ayons change plusieurs fois de mot de passe. j attends egalement la situation du compte en reference 300 000 674 204. ******** que cette situation sera vite resolue. avec mes remerciements  ",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
"personne disponible et a l ecoute, et tres reactive merci beaucoup",RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,
"les creneaux horaires pour les rendez-vous pour les entreprises comme nous car des creneaux horaires de quatre heures sans le numero des techniciens, c est un peu difficile. nous ne sommes pas payes pour faire ça donc en tant qu entreprise on devrait avoir un traitement privilegie. ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"on a des problemes de gestion de reglement car on paye les factures et bien souvent les reglements ne sont imputes ou même des virements rejete ce qui engendre des relances, des penalites de ratrd et c est un peu complique a gerer. baisser les tarifs par rapport a la concurrence car ils sont plus chers.",TARIFS,,,
"***** est un souk indescriptible, personne n est au courant de rien, chaque service est hermetiquement isole des autres, et multiplie les complications et erreurs a chaque intervenant. une reponse blanche maintenant immediatement contredite 1h plus tard par un autre service. tout le monde se marche sur les pieds, et brasse du vent... c est sans doute pour ca qu il faut payer si cher l energie que vous 'vendez'.  impossible d avoir un contact avec une personne capable de  comprendre un probleme dans sa globalite et de prendre des decisions sensees;  tout le monde est formate, sur des reponses bateau, tres eloignees de la realite!! qu on nous rende edf et gdf qui n etaient pas informatisees mais fonctionnaient beaucoup mieux et etaient efficaces .  il est aussi urgent que vous changiez d informaticiens qui fabriquent on se demande bien quels programmes debiles qui sont archi faux , truffes d aneries...",RELATION CLIENTELE,RELATION CLIENTELE,ORGANISATION-PROCESS,
"rien pour recevoir les duplicatas de facture, c est ok",FACTURATION,,,
il faut donner une note .,IMPRESSIONS GENERALES,,,
un ************** au syndic ,IMPRESSIONS GENERALES,,,
"ameliorer la disponibilite des factures sur l espace client internet, c est a dire que ej puisse avoir acces a l ensemble des factures sur l ensemble de mes sites. ",ESPACE CLIENT,,,
